数据来源,药材名,文献,中文名,英文名,分子式,化合物类型,加合物（正）,加合物（负）,准分子离子(正离子模式),碎片离子(正离子模式),准分子离子(负离子模式),碎片离子(负离子模式)
TCM-SM-MS DB,丁香,中001,没食子酸,Gallic acid,C₇H₆O₅,酚类,[M+H]+,[M-H]-,171.0288,153.0182、 127.0387、 109.0277、 81.0323,169.0142,125.0236、 107.0116、 97.0294、 79.0178
TCM-SM-MS DB,丁香,中001,丹皮酚,Paeonol,C₉H₁₀O₃,酚类,[M+H]+,,167.0703,152.0579、 121.0844、 103.0541,,
TCM-SM-MS DB,丁香,中001,绿原酸,Chlorogenic acid,C₁₆H₁₈O₉,有机酸,[M+H]+,[M-H]-,355.1025,163.0390、 145.0287、 135.0437、 117.0331、 337.0943,353.0878,191.0559
TCM-SM-MS DB,丁香,中001,隐绿原酸,Cryptochlorogenic acid,C₁₆H₁₈O₉,有机酸,[M+H]+,[M-H]-,355.1029,163.0391、 145.0279、 135.0440、 117.0334,353.0865,191.055、 135.0448
TCM-SM-MS DB,丁香,中001,咖啡酸,Caffeic acid,C₉H₈O₄,有机酸,,[M-H]-,,,179.035,135.0448、 117.0371
TCM-SM-MS DB,丁香,中001,芦丁,Rutin,C₂₇H₃₀O₁₆,黄酮苷,,[M-H]-,,,609.1461,300.0272、 271.0241
TCM-SM-MS DB,丁香,中001,异绿原酸,Isochlorogenic acid,C₂₅H₂₄O₁₂,有机酸,[M+H]+,[M-H]-,517.1341,353.0850、 191.0549、 173.0451,515.118,353.087、 191.0567、 179.0351、 173.0457
TCM-SM-MS DB,丁香,中001,槲皮苷,Quercitrin,C₂₁H₂₀O₁₁,黄酮苷,[M+H]+,,449.1078,303.0543,,
TCM-SM-MS DB,丁香,中001,异鼠李素-3-O-D-葡萄糖苷,Isorhamnetin-3-O-D-glucoside,C₂₂H₂₂O₁₂,黄酮苷,[M+H]+,[M-H]-,479.1184,317.0653,477.1039,315.0489、 271.0238、 243.0292、 178.9972
TCM-SM-MS DB,丁香,中001,鞣花酸,Ellagic acid,C₁₄H₆O₈,酚类,[M+H]+,[M-H]-,303.0135,275.0192、 257.0072、 229.0154,300.999,283.9974、 257.0135、 243.9953、 229.0158、 217.0151、 201.0199、 185.0243、 157.0297
TCM-SM-MS DB,丁香,中001,槲皮素-3-O-葡萄糖醛酸苷 ,Quercetin-3-O-glucuronide,C₂₁H₁₈O₁₃,黄酮苷,[M+H]+,[M-H]-,479.082,303.0496,477.0675,301.0342、 178.9990、 151.0040
TCM-SM-MS DB,丁香,中001,乙酰丁香酚,Acetyleugenol,C₁₂H₁₄O₃,酚类,[M+H]+,,209.0808,191.0691、 163.0757、 119.0485,,
TCM-SM-MS DB,丁香,中001,槲皮素,Quercetin,C₁₅H₁₀O₇,黄酮,[M+H]+,,303.0499,285.0435、 274.0528、 257.0494、 229.0538、 165.0210、 153.0210,,
TCM-SM-MS DB,丁香,中001,橄榄苦苷,Oleuropein,C₂₅H₃₂O₁₃,环烯醚萜,,[M+COOH]-,,,585.1814,275.3269、 152.8090
TCM-SM-MS DB,丁香,中001,异鼠李素-3-O-葡萄糖醛酸苷,Isorhamnetin-3-O-glucuronide,C₂₂H₂₀O₁₃,黄酮苷,[M+H]+,[M-H]-,493.0977,317.0605、 302.0367、 274.0415、 153.0160,491.0831,315.0489、 271.0224
TCM-SM-MS DB,丁香,中001,木犀草素-7-O-β-D-葡萄糖醛酸苷,Luteolin-7-O-β-D-glucuronide,C₂₁H₁₈O₁₂,黄酮苷,[M+H]+,,463.0871,287.0503,,
TCM-SM-MS DB,丁香,中001,木犀草素,Luteolin,C₁₅H₁₀O₆,黄酮,[M+H]+,,287.055,153.0155、 241.0451、 213.0517,,
TCM-SM-MS DB,丁香,中001,3-O-甲基鞣花酸 ,3-O-Methylellagic acid,C₁₅H₈O₈,酚类,[M+H]+,[M-H]-,317.0292,302.0036、 274.0030、 246.0063、 229.0166,315.0146,299.9894、 243.9982、 178.9578
TCM-SM-MS DB,丁香,中001,异东莨菪内酯,Iso-scopoletin,C₁₀H₈O₄,香豆素,[M+H]+,,193.0495,178.0261、 165.0522、 137.0585、 150.0309,,
TCM-SM-MS DB,丁香,中001,鼠李素-3-O-β-D-葡萄糖苷,Rhamnetin-3-O-β-D-glucoside,C₂₂H₂₂O₁₂,黄酮苷,[M+H]+,[M-H]-,479.1184,317.0605、 167.1017,477.1039,314.9296、 151.0214
TCM-SM-MS DB,丁香,中001,柚皮素,Naringenin,C₁₅H₁₂O₅,黄酮,,[M-H]-,,,271.0612,177.0187、 151.0033、 107.0160
TCM-SM-MS DB,丁香,中001,滨蒿内酯,Scoparone,C₁₁H₁₀O₄,香豆素,[M+H]+,,207.0652,192.0387、 164.0470,,
TCM-SM-MS DB,丁香,中001,"3,3'-O-二甲基鞣花酸","3,3'-O-Dimethylellagic acid",C₁₆H₁₀O₈,酚类,[M+H]+,[M-H]-,331.0448,316.09300.39916、 272.9950,329.0303,270.9865、 242.9919
TCM-SM-MS DB,丁香,中001,山奈酚,Kaempferol,C₁₅H₁₀O₆,黄酮,[M+H]+,,287.055,258.0513、 153.055、 241.0451、 213.0517,,
TCM-SM-MS DB,丁香,中001,鼠李素-3-O-葡萄糖醛酸苷,Rhamnetin-3-O-glucuronide,C₂₂H₂₀O₁₃,黄酮苷,[M+H]+,,493.0977,317.0605、 302.0367、 274.0415、 153.0160,,
TCM-SM-MS DB,丁香,中001,异鼠李素,Isorhamnetin,C₁₆H₁₂O₇,黄酮,[M+H]+,,317.0653,,,
TCM-SM-MS DB,丁香,中001,羟基莞花素,Hydroxygenkwanin,C₁₆H₁₂O₆,黄酮,[M+H]+,,301.0707,258.0527、 286.0466、 167.0354,,
TCM-SM-MS DB,丁香,中001,"3,4,3-三甲基鞣花酸-4'-O-β-D-葡萄糖苷","3,4,3-Trimethylellagic acid-4'-O-β-D-glucoside",C₂₃H₂₂O₁₃,酚苷,[M+H]+,,507.1133,331.0819,,
TCM-SM-MS DB,丁香,中001,"3,3',4'-O-三甲基鞣花酸-4'-O-β-D-木糖苷","3,3',4'-O-Trimethylellagic acid-4'-O-β-D-xyloside",C₂₂H₂₀O₁₂,酚苷,[M+H]+,,477.1028,301.0707,,
TCM-SM-MS DB,丁香,中001,"3,3',4'-三甲基鞣花酸","3,3',4'-Trimethylellagic acid",C₁₇H₁₂O₈,酚类,[M+H]+,,345.0605,330.0362、 313.0340、 285.0364,,
TCM-SM-MS DB,丁香,中001,异丁香酚,Isoeugenol,C₁₀H₁₂O₂,酚类,[M+H]+,,165.091,150.0683、 122.0368、 133.0656,,
TCM-SM-MS DB,丁香,中001,鼠李素,Rhamnetin,C₁₆H₁₂O₇,黄酮,,[M-H]-,,,315.051,300.0289、 271.0236、 243.0305、 151.0025
TCM-SM-MS DB,丁香,中001,乙酸丁香酚,Acetyleugenol,C₁₂H₁₄O₃,酚类,[M+H]+,,207.1016,137.0597、 165.0970,,
TCM-SM-MS DB,丁香,中001,丁香酚,Eugenol,C₁₀H₁₂O₂,酚类,[M+H]+,,165.091,137.0591、 105.0692、 150.0675、 124.0518,,
TCM-SM-MS DB,丁香,中001,山奈素,Kaempferide,C₁₆H₁₂O₆,黄酮,[M+H]+,,301.0707,286.0536、 269.0507、 258.0584、 230.0628,,
TCM-SM-MS DB,丁香,中001,邻苯二甲酸二丁酯,Dibutyl phthalate,C₁₆H₂₂O₄,其他,[M+H]+,,279.1593,149.0229,,
TCM-SM-MS DB,丁香,中001,丁香脂素,Syringaresinol,C₂₂H₂₆O₈,木脂素 ,[M+H]+,,419.17,323.0916、 205.0134、 175.0404,,
TCM-SM-MS DB,丁香,中001,科罗索酸 ,Corosolic acid,C₃₀H₄₈O₄,三萜酸,[M+H]+,,473.3625,455.3517、 409.3464、 437.3400、 391.3363、 249.1830、 203.1790、 189.1628、 121.1013,,
TCM-SM-MS DB,丁香,中001,白桦脂酸,Betulinic acid,C₃₀H₄₈O₃,三萜酸,[M+H]+,,457.3676,411.3631、 439.3553、 191.1795、 163.1480,,
TCM-SM-MS DB,丁香,中001,熊果酸,Ursolic acid,C₃₀H₄₈O₃,三萜酸,[M+H]+,,457.3676,411.3596、 439.3512、 393.3520、 191.1798、 163.1470、 135.116、 121.1016、 107.0846,,
TCM-SM-MS DB,丁香,中002,刺五加苷B ,Eleutheroside B,C17H24O9,苯丙素类 ,[M+Na]+,,395.1322,232.0717,,
TCM-SM-MS DB,丁香,中002,"4-(2-羟基-1-甲氧基乙基)-1,2-苯二酚 ","4-(2-Hydroxy-1-methoxyethyl)-1,2-benzenediol",C9H12O4,酚酸类 ,[M+H]+,,185.0809,167.0706、139.0747、125.0594,,
TCM-SM-MS DB,丁香,中002,3-羟基-4-甲氧基苯甲酸 ,3-Hydroxy-4-methoxybenzoic acid,C8H8O4,酚酸类 ,[M+H]+,,169.0496,151.0394、141.0540、125.0596,,
TCM-SM-MS DB,丁香,中002,香草醛,Vanillin,C8H8O3,酚酸类 ,[M+H]+,,153.0546,125.0598、110.0363,,
TCM-SM-MS DB,丁香,中002,"4-(1-乙氧基-2-羟基乙基)-1,2-苯二酚","4-(1-Ethoxy-2-hydroxyethyl)-1,2-benzenediol",C10H14O4,酚酸类 ,[M+H]+,,199.0966,181.0859、153.0907、135.0804,,
TCM-SM-MS DB,丁香,中002,落叶松脂醇4-O-β-D-吡喃葡萄糖苷 ,Lariciresinol 4-O-β-D-glucopyranoside,C26H34O11,木脂素类 ,[M+NH4]+,,540.2443,331.1555、313.1451,,
TCM-SM-MS DB,丁香,中002,连翘苷A ,Forsythoside A,C29H36O15,木脂素类 ,[M+NH4]+,,642.2405,479.1559、163.0393,,
TCM-SM-MS DB,丁香,中002,松柏醛 ,Coniferyl aldehyde,C10H10O3,苯丙素类 ,[M+H]+,,179.0703,161.0602、147.0443、133.0649、119.0492,,
TCM-SM-MS DB,丁香,中002,阿拉善醇H ,Alashinol H,C20H22O8,木脂素类 ,[M+H]+,,391.1393,361.1293、343.1185、313.1068,,
TCM-SM-MS DB,丁香,中002,橄榄苦苷,Ligstroside,C25H32O12,其他类 ,[M+H]+,,525.197,507.1847,,
TCM-SM-MS DB,丁香,中002,阿拉善醇G ,Alashinol G,C20H26O7,木脂素类 ,[M+NH4]+,,396.202,325.1435、219.1011、137.0594,,
TCM-SM-MS DB,丁香,中002,"4,4'-二羟基-3,3',9-三甲氧基-9,9'-环氧木脂素 ","4,4'-Dihydroxy-3,3',9-trimethoxy-9,9'-epoxylignan",C21H26O6,木脂素类 ,[M+H]+,,375.1806,357.1343、327.1224,,
TCM-SM-MS DB,丁香,中002,弗拉迪醇D ,Vladinol D,C20H22O7,木脂素类 ,[M+H]+,,375.1447,357.1336、327.1235,,
TCM-SM-MS DB,丁香,中002,阿拉善醇D ,Alashinol D,C20H20O6,木脂素类 ,[M+H]+,,357.1342,339.1235、327.1231,,
TCM-SM-MS DB,丁香,中002,O-乙基草澄茄素,O-Ethylcubebin,C22H24O6,木脂素类 ,[M+H]+,,385.1639,385.1621,,
TCM-SM-MS DB,丁香,中002,开环异落叶松脂醇,Secoisolariciresinol,C20H26O6,木脂素类 ,[M+H]+,,363.1805,345.1691、327.1590、295.1330、137.0598,,
TCM-SM-MS DB,丁香,中002,前巴拉诺芬 ,Prebalanophonin,C20H22O7,木脂素类 ,[M+H]+,,375.1441,357.1336、327.1232,,
TCM-SM-MS DB,丁香,中002,5-甲氧基异落叶松脂醇,5-Methoxyisolariciresinol,C21H26O7,木脂素类 ,[M+NH4]+,,408.202,373.1637、167.0701,,
TCM-SM-MS DB,丁香,中002,菲律宾胡椒素VI ,Piperphilippinin VI,C20H24O6,木脂素类 ,[M+NH4]+,,378.1914,325.1444、219.1017、137.0599,,
TCM-SM-MS DB,丁香,中002,去甲阿拉善醇A,Noralashinol A,C21H22O6,木脂素类 ,[M+H]+,,371.1493,189.0912、167.0701,,
TCM-SM-MS DB,丁香,中002,丁香脂素 ,Syringaresinol,C22H26O8,木脂素类 ,[M+H]+,,419.1707,401.1604、383.1494、351.1234,,
TCM-SM-MS DB,丁香,中002,"3,3'-二甲氧基-4,4'-二羟基-83,93,8'a-6,9-环四氢呋喃木脂素 ","3,3'-Dimethoxy-4,4'-dihydroxy-83,93,8'a-6,9-cyclo-tetrahydrofuranlignan",C20H22O5,木脂素类 ,[M+H]+,,343.1542,325.1441、151.0756、137.0595,,
TCM-SM-MS DB,丁香,中002,倍半草酚B,Sesquipinsapol B,C30H36O9,木脂素类 ,[M+H]+,,541.2429,523.2319、505.2225,,
TCM-SM-MS DB,丁香,中002,丁香木质素苷B ,丁香木质素苷B ,C42H54O21,木脂素类 ,[M+Na]+,,917.3062,917.3071,,
TCM-SM-MS DB,丁香,中002,赫佩廷 ,Herpetin,C30H34O9,木脂素类 ,[M+H]+,,539.2284,521.2184、503.2079,,
TCM-SM-MS DB,丁香,中002,二氢草澄茄素,Dihydrocubebin,C20H22O6,木脂素类 ,[M+H]+,,359.15,341.1397、323.1295、137.0601,,
TCM-SM-MS DB,丁香,中002,落叶松萘酮,Larixnaphthaone,C20H20O6,木脂素类 ,[M+H]+,,357.1343,339.1234、321.1133、307.0974,,
TCM-SM-MS DB,丁香,中002,开环异落叶松脂醇二聚体,Secoisolariciresinol dimer,C40H50O12,木脂素类 ,[M+H]+,,723.3387,705.3283、687.3165、669.3066,,
TCM-SM-MS DB,丁香,中002,"4-羟基-1,10-开环杜松-5-烯-1,10-二酮","4-Hydroxy-1,10-secocadin-5-ene-1,10-dione",C15H24O3,倍半萜类 ,[M+H]+,,253.1805,235.1696、217.1589、199.1479,,
TCM-SM-MS DB,丁香,中002,阿拉善萜L/M ,Alashanoid L/Alashanoid M,C15H22O2,倍半萜类 ,[M+H]+,,235.17,217.1593、133.1008,,
TCM-SM-MS DB,丁香,中002,羽叶酮A,Pinnatifolone A,C15H20O3,倍半萜类 ,[M+H]+,,249.1485,231.1378、203.1430、181.0855,,
TCM-SM-MS DB,丁香,中002,羽叶素,Pinnatifolin,C20H22O5,木脂素类 ,[M+H]+,,343.1549,325.1443、310.1208,,
TCM-SM-MS DB,丁香,中002,异羽叶素,Isopinnatifolin,C20H22O5,木脂素类 ,[M+H]+,,343.1549,325.1441,,
TCM-SM-MS DB,丁香,中002,(-)-草澄茄素,(-)-Cubebin,C20H20O6,木脂素类 ,[M+H]+,,357.1341,339.1232、321.1127,,
TCM-SM-MS DB,丁香,中002,2α-羟基雅槛蓝-11-烯-9-酮,2α-Hydroxyeremophil-11-en-9-one,C15H24O2,倍半萜类 ,[M+H]+,,237.1856,219.1747、145.1012,,
TCM-SM-MS DB,丁香,中002,"3β-乙酰氧基-11α,12α-环氧齐墩果-28,13β-内酯 ","3β-Acetoxy-11α,12α-epoxy-olean-28,13β-olide",C32H48O5,五环三萜类 ,[M+H]+,,513.358,467.3531、189.1642,,
TCM-SM-MS DB,丁香,中002,3-O-乙酰基齐墩果酸,3-O-Acetyloleanolic acid,C32H50O4,五环三萜类 ,[M+H]+,,499.3784,499.3784,,
TCM-SM-MS DB,丁香,中002,19α-羟基乌苏酸 ,19α-羟基乌苏酸 ,C30H48O4,五环三萜类 ,[M+H]+,,473.3614,455.3489、269.1148,,
TCM-SM-MS DB,人工牛黄,中001,苯丙氨酸,Phenylalanine,C9H11NO2,氨基酸,[M+H]+,,180.102,162、 134、 120、 118,,
TCM-SM-MS DB,人工牛黄,中001,牛磺胆酸,Taurocholic Acid,C26H45NO7S,胆汁酸,[M+H]+,,516.2982,498、 480、 462、 355、 337、 319、 126,,
TCM-SM-MS DB,人工牛黄,中001,胆红素,Bilirubin,C33H36N4O6,胆色素,[M+H]+,,585.2696,462、 419、 404、 390、 360、 344,,
TCM-SM-MS DB,人工牛黄,中001,牛磺鹅去氧胆酸,Taurochenodeoxycholic Acid,C26H45NO6S,胆汁酸,[M+Na]+,,522.2855,504、 486、 361、 148,,
TCM-SM-MS DB,人工牛黄,中001,甘氨胆酸,Glycocholic Acid,C26H43NO6,胆汁酸,[M+H]+,,466.3085,430、 412、 337、 319,,
TCM-SM-MS DB,人工牛黄,中001,牛磺酰去氧胆酸,Tauroursodeoxycholic Acid,C26H45NO6S,胆汁酸,[M+H]+,,500.3051,482、 339、 321,,
TCM-SM-MS DB,人工牛黄,中001,甘氨酰脱氧胆酸,Glycodeoxycholic Acid,C26H43NO5,胆汁酸,[M+Na]+,,472.3005,454、 397,,
TCM-SM-MS DB,人工牛黄,中001,甘氨去氧胆酸,Glycodeoxycholic Acid,C26H43NO6,胆汁酸,[M+H]+,,468.3309,466、 373、 355,,
TCM-SM-MS DB,人工牛黄,中001,维生素D3,Vitamin D3,C27H44O,维生素,[M+H]+,,385.3412,367、 257、 215、 161、 147,,
TCM-SM-MS DB,红参,参麦注射液,20-葡萄糖基人参皂苷Rf异构体,20-glc-ginsenoside Rf isomer,C48H82O19,三萜皂苷,,[M+FA-H]-,,,1007.5433,961.5448、 799.4911、 179.0541、 119.0346
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Re,ginsenoside Re,C42H72O15,三萜皂苷,,[M+FA-H]-,,,861.4846,815.4880、 653.4313、 491.3747、 391.2837、 221.0670、 161.0443、 71.0175
TCM-SM-MS DB,红参,参麦注射液,三七皂苷R1异构体,notoginsenoside R1 isomer,C47H80O18,三萜皂苷,,[M+FA-H]-,,,977.5316,931.5352、 799.4897、 637.4347、 475.3795、 293.0846、 221.0643、 191.0543、 149.0442
TCM-SM-MS DB,红参,参麦注射液,20-葡萄糖基人参皂苷Rf异构体,20-glc-ginsenoside Rf isomer,C48H82O19,三萜皂苷,,[M+FA-H]-,,,1007.5429,961.5462、 799.4914、 637.4353、 475.3794、 161.0442
TCM-SM-MS DB,红参,参麦注射液,三七皂苷R1异构体,notoginsenoside R1 isomer,C47H80O18,三萜皂苷,,[M+FA-H]-,,,977.5319,931.5400、 799.4893、 637.4358、 149.0447、 191.0552
TCM-SM-MS DB,红参,参麦注射液,三七皂苷R1,notoginsenoside R1,C47H80O18,三萜皂苷,,[M+FA-H]-,,,977.532,931.5337、 799.4901、 769.4784、 637.4342、 619.4229、 475.3795、 161.0433
TCM-SM-MS DB,红参,参麦注射液,异庚醇2(S)-O-β-D-木糖苷-(1→6)-β-D-葡萄糖苷,isohiptanol 2(S)-O-β-D-xylopyranosyl-(1→6)-β-D-glucopyranoside,C18H34O10,其他苷类,,[M+FA-H]-,,,455.2117,409.2060、 277.1640、 161.0447、 113.0267、 101.0251、 85.0321、 83.0137、 55.0242
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Re,ginsenoside Re,C48H82O18,三萜皂苷,,[M+FA-H]-,,,991.5479,945.5518、 783.4932、 637.4332、 475.3784、 161.0441
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Rg1,ginsenoside Rg1,C42H72O14,三萜皂苷,,[M+FA-H]-,,,845.4898,845.4982、 799.4931、 637.4377、 619.4278、 475.3791、 179.0546、 161.0438
TCM-SM-MS DB,红参,参麦注射液,未知,unknown,C22H32O11,未知,,[M+FA-H]-,,,517.1905,297.0534、 221.0634、 161.0426、 101.0231、 89.0271
TCM-SM-MS DB,红参,参麦注射液,6″-乙酰基人参皂苷Rg1,6″-acetyl-ginsenoside Rg1,C44H74O15,三萜皂苷,,[M+FA-H]-,,,887.5006,887.5090、 841.4944、 799.4927、 781.4806、 679.4378、 637.4294、 619.4235、 475.3757、 161.0442
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Rf异构体,ginsenoside Rf isomer,C42H72O14,三萜皂苷,,[M+FA-H]-,,,845.4896,799.4907、 637.4349、 475.3788、 391.2832、 161.0438、 101.0256
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Rf异构体,ginsenoside Rf isomer,C42H72O14,三萜皂苷,,[M+FA-H]-,,,845.4894,799.4908、 637.4338、 475.3788、 457.3743、 161.0435、 101.0252
TCM-SM-MS DB,红参,参麦注射液,"5,6-去氢人参皂苷Rb1","5,6-didehydroginsenoside Rb1",C54H90O23,三萜皂苷,,[M+FA-H]-,,,1151.5834,1105.5904、 943.5346、 781.4810、 619.4188、 323.1005、 179.0531、 101.0249
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Ra1/Ra2,ginsenoside Ra1/Ra2,C58H98O26,三萜皂苷,,[M+Cl]-,,,1245.6022,1245.6192、 1209.6424、 1077.5987、 783.4959、 323.0977、 191.0548
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Ra3,ginsenoside Ra3,C59H100O27,三萜皂苷,,[M+FA-H]-,,,1285.1,1239.6
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Rb1,ginsenoside Rb1,C54H92O23,三萜皂苷,,[M+FA-H]-,,,1153.5989,1107.6047、 945.5469、 783.4932、 621.4375、 179.0539
TCM-SM-MS DB,红参,参麦注射液,20(S)-人参皂苷Rg2,20(S)-ginsenoside Rg2,C42H72O13,三萜皂苷,,[M+FA-H]-,,,829.4944,783.4944、 637.4377、 619.4227、 475.3787、 391.2834、 161.0446
TCM-SM-MS DB,红参,参麦注射液,丙二酰基人参皂苷Rb1,malonyl-ginsenoside Rb1,C57H94O26,三萜皂苷,,[M-H]-,,,1193.5965,1149.6139、 1107.6041、 1089.5896、 945.5459、 783.4960、 179.0581
TCM-SM-MS DB,红参,参麦注射液,20(R)-人参皂苷Rg2,20(R)-ginsenoside Rg2,C42H72O13,三萜皂苷,,[M+FA-H]-,,,829.4941,783.4954、 637.4346、 619.4263、 475.3791、 391.2854、 161.0432
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Rc,ginsenoside Rc,C53H90O22,三萜皂苷,,[M+FA-H]-,,,1123.5887,1077.5924、 945.5487、 783.4941、 191.0542
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Ro,ginsenoside Ro,C48H76O19,三萜皂苷,,[M-H]-,,,955.489,955.5004、 793.4435、 731.4404、 569.3857、 523.3804
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Rb2,ginsenoside Rb2,C53H90O22,三萜皂苷,,[M+FA-H]-,,,1123.5879,1077.5973、 945.5531、 783.4949、 149.0451
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Rb3,ginsenoside Rb3,C53H90O22,三萜皂苷,,[M+FA-H]-,,,1123.5884,1077.5966、 945.5529、 783.4939、 621.4376、 149.0444
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Ra1/Ra2,ginsenoside Ra1/Ra2,C58H98O26,三萜皂苷,,[M+Cl]-,,,1245.6017,1245.6159、 1209.6393、 1077.5965、 1047.5850、 131.0321
TCM-SM-MS DB,红参,参麦注射液,6″-O-乙酰基人参皂苷Rb1,6″-O-acetylginsenoside Rb1,C56H94O24,三萜皂苷,,[M+FA-H]-,,,1195.6091,1149.6204、 1107.6053、 1089.5954、 945.5514、 783.4889、 621.4392、 179.0536、 89.0294
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Rd,ginsenoside Rd,C48H82O18,三萜皂苷,,[M+FA-H]-,,,991.5471,945.5495、 783.4930、 621.4386、 1119.6096、 1077.5961、 1059.5846
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Rs2/异构体,ginsenoside Rs2/isomer,C55H92O23,三萜皂苷,,[M+FA-H]-,,,1165.5995,945.5498、 915.5416、 783.4956、 191.0548
TCM-SM-MS DB,红参,参麦注射液,丙二酰基人参皂苷Rd,malonyl-ginsenoside Rd,C51H94O21,三萜皂苷,,[M-H]-,,,1031.5417,987.5629、 945.5522、 927.5411、 783.4949、 765.4623、 621.4360、 459.3848、 161.0439
TCM-SM-MS DB,红参,参麦注射液,三七皂苷K,notoginsenoside K,C48H82O18,三萜皂苷,,[M+FA-H]-,,,991.5467,945.5520、 783.5043、 621.4357、 323.0969、 221.0637、 179.0541、 119.0348
TCM-SM-MS DB,红参,参麦注射液,12-O-葡萄糖基人参皂苷Rh4,12-O-glucoginsenoside Rh4,C42H70O13,三萜皂苷,,[M+FA-H]-,,,827.4777,781.4786、 619.4248、 161.0433、 101.0218
TCM-SM-MS DB,红参,参麦注射液,6″-乙酰基人参皂苷Rd或异构体,6″-acetylginsenoside Rd or its isomer,C50H84O19,三萜皂苷,,[M+FA-H]-,,,1033.5562,987.5626、 945.5528、 927.5390、 783.4964、 765.4854、 621.4398、 603.4289、 459.3822、 179.0555、 161.0441、 119.0340
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Rg6/F4,ginsenoside Rg6/F4,C42H70O12,三萜皂苷,,[M+FA-H]-,,,811.483,765.4804、 619.4206、 457.3703、 205.0694、 161.0433
TCM-SM-MS DB,红参,参麦注射液,20(S)-人参皂苷Rg3,20(S)-ginsenoside Rg3,C42H72O13,三萜皂苷,,[M+FA-H]-,,,829.4933,783.4954、 621.4389、 459.3828、 161.0446
TCM-SM-MS DB,红参,参麦注射液,20(R)-人参皂苷Rg3,20(R)-ginsenoside Rg3,C42H72O13,三萜皂苷,,[M+FA-H]-,,,829.4933,783.4969、 621.4412、 459.3849、 375.2900、 161.0447
TCM-SM-MS DB,红参,参麦注射液,20(S)-6″-O-乙酰基人参皂苷Rg3,20(S)-6″-O-acetyl-ginsenoside Rg3,C44H74O14,三萜皂苷,,[M+FA-H]-,,,871.505,871.5383、 825.5071、 783.4948、 765.4865、 663.4488、 621.4378、 459.3816、 161.0443、 59.0159
TCM-SM-MS DB,红参,参麦注射液,20(R)-6″-O-乙酰基人参皂苷Rg3,20(R)-6″-O-acetyl-ginsenoside Rg3,C44H74O14,三萜皂苷,,[M+FA-H]-,,,871.5044,871.5397、 825.5064、 783.4932、 765.4824、 663.4484、 621.4375、 459.3832、 161.0448、 101.0231
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Rk1/Rg5,ginsenoside Rk1/Rg5,C42H70O12,三萜皂苷,,[M+FA-H]-,,,811.4826,765.4829、 603.4285、 161.0435
TCM-SM-MS DB,红参,参麦注射液,人参皂苷Rk1/Rg5,ginsenoside Rk1/Rg5,C42H70O12,三萜皂苷,,[M+FA-H]-,,,811.4823,765.4838、 603.4289、 161.0443、 71.0149
TCM-SM-MS DB,生晒参/大力参,生晒参大力参,人参皂苷Ra0,ginsenoside Ra0,C60H102O28,三萜皂苷,,[M-H]-/[M+HCOOH-H]-,,,1269.6485/1315.654,1107、 945、 783、 621、 459
TCM-SM-MS DB,生晒参/大力参,生晒参大力参,人参皂苷Ra1,ginsenoside Ra1,C58H98O26,三萜皂苷,,[M-H]-/[M+HCOOH-H]-,,,1209.6274/1255.6328,1077、 945、 783、 621、 459
TCM-SM-MS DB,生晒参/大力参,生晒参大力参,人参皂苷Ra2,ginsenoside Ra2,C58H98O26,三萜皂苷,,[M-H]-/[M+HCOOH-H]-,,,1209.6274/1255.6328,1077、 945、 783、 621、 459
TCM-SM-MS DB,生晒参/大力参,生晒参大力参,人参皂苷Ra3,ginsenoside Ra3,C59H100O27,三萜皂苷,,[M-H]-/[M+HCOOH-H]-,,,1239.6379/1285.6434,1107、 1077、 945、 783、 621、 459
TCM-SM-MS DB,生晒参/大力参,生晒参大力参,人参皂苷Rb1,ginsenoside Rb1,C54H92O23,三萜皂苷,,[M-H]-/[M+HCOOH-H]-,,,1107.5957/1153.6011,945、 783、 621、 459
TCM-SM-MS DB,生晒参/大力参,生晒参大力参,人参皂苷Rb2,ginsenoside Rb2,C53H90O22,三萜皂苷,,[M-H]-/[M+HCOOH-H]-,,,1077.5851/1123.5906,945、 783、 621、 459
TCM-SM-MS DB,生晒参/大力参,生晒参大力参,人参皂苷Rb3,ginsenoside Rb3,C53H90O22,三萜皂苷,,[M-H]-/[M+HCOOH-H]-,,,1077.5851/1123.5906,945、 783、 621、 459
